Regional Economy,Statistic,Value,Footnote,Year,Unit of Measure,Sustainable Development Goal,ADB Economy Code
Afghanistan,Age Dependency Ratio,83,,2023,% of working-age population,,AFG
Armenia,Age Dependency Ratio,52,,2023,% of working-age population,,ARM
Azerbaijan,Age Dependency Ratio,44,,2023,% of working-age population,,AZE
Bangladesh,Age Dependency Ratio,47,,2023,% of working-age population,,BAN
Bhutan,Age Dependency Ratio,39,,2023,% of working-age population,,BHU
Brunei Darussalam,Age Dependency Ratio,39,,2023,% of working-age population,,BRU
Cambodia,Age Dependency Ratio,53,,2023,% of working-age population,,CAM
"China, People's Republic of",Age Dependency Ratio,45,,2023,% of working-age population,,PRC
Cook Islands,Age Dependency Ratio,56,,2023,% of working-age population,,COO
Fiji,Age Dependency Ratio,52,,2023,% of working-age population,,FIJ
Georgia,Age Dependency Ratio,56,,2023,% of working-age population,,GEO
"Hong Kong, China",Age Dependency Ratio,50,,2023,% of working-age population,,HKG
India,Age Dependency Ratio,47,,2023,% of working-age population,,IND
Indonesia,Age Dependency Ratio,47,,2023,% of working-age population,,INO
Kazakhstan,Age Dependency Ratio,61,,2023,% of working-age population,,KAZ
Kiribati,Age Dependency Ratio,66,,2023,% of working-age population,,KIR
"Korea, Republic of",Age Dependency Ratio,42,,2023,% of working-age population,,KOR
Kyrgyz Republic,Age Dependency Ratio,64,,2023,% of working-age population,,KGZ
Lao People's Democratic Republic,Age Dependency Ratio,53,,2023,% of working-age population,,LAO
Malaysia,Age Dependency Ratio,43,,2023,% of working-age population,,MAL
Maldives,Age Dependency Ratio,37,,2023,% of working-age population,,MLD
Marshall Islands,Age Dependency Ratio,58,,2023,% of working-age population,,RMI
"Micronesia, Federated States of",Age Dependency Ratio,57,,2023,% of working-age population,,FSM
Mongolia,Age Dependency Ratio,59,,2023,% of working-age population,,MON
Myanmar,Age Dependency Ratio,46,,2023,% of working-age population,,MYA
Nauru,Age Dependency Ratio,71,,2023,% of working-age population,,NAU
Nepal,Age Dependency Ratio,53,,2023,% of working-age population,,NEP
Niue,Age Dependency Ratio,70,,2023,% of working-age population,,NIU
Pakistan,Age Dependency Ratio,68,,2023,% of working-age population,,PAK
Palau,Age Dependency Ratio,46,,2023,% of working-age population,,PAL
Papua New Guinea,Age Dependency Ratio,59,,2023,% of working-age population,,PNG
Philippines,Age Dependency Ratio,55,,2023,% of working-age population,,PHI
Samoa,Age Dependency Ratio,75,,2023,% of working-age population,,SAM
Singapore,Age Dependency Ratio,39,,2023,% of working-age population,,SIN
Solomon Islands,Age Dependency Ratio,74,,2023,% of working-age population,,SOL
Sri Lanka,Age Dependency Ratio,52,,2023,% of working-age population,,SRI
"Taipei,China",Age Dependency Ratio,43,,2023,% of working-age population,,TAP
Tajikistan,Age Dependency Ratio,66,,2023,% of working-age population,,TAJ
Thailand,Age Dependency Ratio,45,,2023,% of working-age population,,THA
Timor-Leste,Age Dependency Ratio,65,,2023,% of working-age population,,TIM
Tonga,Age Dependency Ratio,67,,2023,% of working-age population,,TON
Turkmenistan,Age Dependency Ratio,57,,2023,% of working-age population,,TKM
Tuvalu,Age Dependency Ratio,62,,2023,% of working-age population,,TUV
Uzbekistan,Age Dependency Ratio,55,,2023,% of working-age population,,UZB
Vanuatu,Age Dependency Ratio,75,,2023,% of working-age population,,VAN
Viet Nam,Age Dependency Ratio,47,,2023,% of working-age population,,VIE
Afghanistan,Annual Change in Money Supply,3.8,,2023,%,,AFG
Armenia,Annual Change in Money Supply,17.4,,2023,%,,ARM
Azerbaijan,Annual Change in Money Supply,5.3,,2023,%,,AZE
Bangladesh,Annual Change in Money Supply,10.5,,2023,%,,BAN
Bhutan,Annual Change in Money Supply,3.2,,2023,%,,BHU
Brunei Darussalam,Annual Change in Money Supply,1.3,,2022,%,,BRU
Cambodia,Annual Change in Money Supply,12.5,,2023,%,,CAM
"China, People's Republic of",Annual Change in Money Supply,9.7,,2023,%,,PRC
Cook Islands,Annual Change in Money Supply,14.6,,2022,%,,COO
Fiji,Annual Change in Money Supply,11.9,,2023,%,,FIJ
Georgia,Annual Change in Money Supply,14.5,,2023,%,,GEO
"Hong Kong, China",Annual Change in Money Supply,4,,2023,%,,HKG
India,Annual Change in Money Supply,12.8,,2023,%,,IND
Indonesia,Annual Change in Money Supply,3.5,,2023,%,,INO
Kazakhstan,Annual Change in Money Supply,11.7,,2023,%,,KAZ
Kiribati,Annual Change in Money Supply,,,,%,,KIR
"Korea, Republic of",Annual Change in Money Supply,3.9,,2023,%,,KOR
Kyrgyz Republic,Annual Change in Money Supply,15,,2023,%,,KGZ
Lao People's Democratic Republic,Annual Change in Money Supply,33.3,,2023,%,,LAO
Malaysia,Annual Change in Money Supply,6,,2023,%,,MAL
Maldives,Annual Change in Money Supply,6.9,,2023,%,,MLD
Marshall Islands,Annual Change in Money Supply,,,,%,,RMI
"Micronesia, Federated States of",Annual Change in Money Supply,,,,%,,FSM
Mongolia,Annual Change in Money Supply,26.8,,2023,%,,MON
Myanmar,Annual Change in Money Supply,10.5,,2023,%,,MYA
